,Model Name,MAE,RMSE,R2 Score,Adjusted R2 Score,Training Duration,Predection Duration,Evaluation Duration
0,AdaBoost (Test),3695.92,5797.02,0.93,0.93,0.0,0.11,0.0
1,AdaBoost (Train),3728.14,5837.92,0.93,0.93,9.49,0.46,0.01
2,CatBoosting (Test),1793.4,3110.6,0.98,0.98,0.0,0.17,0.0
3,CatBoosting (Train),1777.7,3076.7,0.98,0.98,32.95,0.62,0.03
4,XGBRegressor (Test),1962.24,3398.99,0.98,0.98,0.0,0.09,0.0
5,XGBRegressor (Train),1937.71,3355.04,0.98,0.98,3.82,0.26,0.01
6,Decision Tree (Test),885.53,2924.46,0.98,0.98,0.0,0.03,0.0
7,Decision Tree (Train),11.04,221.15,1.0,1.0,42.06,0.1,0.02
8,Random Forest (Test),859.79,2341.46,0.99,0.99,0.0,2.19,0.0
9,Random Forest (Train),320.68,892.13,1.0,1.0,3292.77,10.43,0.02
10,K-Neighbors Regressor (Test),1413.68,3319.26,0.98,0.98,0.0,777.6,0.0
11,K-Neighbors Regressor (Train),1094.24,2669.27,0.99,0.99,0.02,2892.18,0.02
12,Ridge (Test),4270.75,6184.48,0.93,0.93,0.0,0.0,0.0
13,Ridge (Train),4249.88,6178.07,0.93,0.93,1.0,0.02,0.02
14,Lasso (Test),4347.64,6286.73,0.92,0.92,0.0,0.02,0.02
15,Lasso (Train),4343.17,6292.96,0.92,0.92,370.4,0.0,0.0
16,Linear (Test),4269.8,6182.04,0.93,0.93,0.0,0.0,0.01
17,Linear (Train),4248.53,6175.58,0.93,0.93,4.77,0.0,0.02
