airline,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,Predicted Price
Vistara,Mumbai,Night,zero,Late_Night,Delhi,Economy,2,14,5942.0
SpiceJet,Mumbai,Night,zero,Night,Delhi,Economy,2,14,5943.0
SpiceJet,Mumbai,Night,zero,Night,Delhi,Economy,2,7,5943.0
Air_India,Mumbai,Evening,zero,Night,Delhi,Economy,2,14,5950.0
Vistara,Mumbai,Night,zero,Night,Delhi,Economy,2,14,5951.0
Air_India,Mumbai,Night,zero,Night,Delhi,Economy,2,14,5951.0
SpiceJet,Mumbai,Evening,zero,Night,Delhi,Economy,2,14,5952.0
Vistara,Mumbai,Evening,zero,Evening,Delhi,Economy,2,14,5953.0
SpiceJet,Mumbai,Evening,zero,Night,Delhi,Economy,2,7,5954.0
Vistara,Mumbai,Night,zero,Late_Night,Delhi,Economy,2,7,5969.0
Vistara,Mumbai,Evening,zero,Evening,Delhi,Economy,2,7,5972.0
Vistara,Mumbai,Night,zero,Night,Delhi,Economy,2,7,5988.0
Vistara,Mumbai,Evening,zero,Night,Delhi,Economy,2,14,6003.0
Indigo,Mumbai,Evening,zero,Night,Delhi,Economy,2,14,6027.0
Indigo,Mumbai,Night,zero,Night,Delhi,Economy,2,14,6043.0
Air_India,Mumbai,Evening,zero,Night,Delhi,Economy,2,7,6044.0
Indigo,Mumbai,Night,zero,Late_Night,Delhi,Economy,2,14,6052.0
Air_India,Mumbai,Night,zero,Night,Delhi,Economy,2,7,6052.0
Indigo,Mumbai,Evening,zero,Evening,Delhi,Economy,2,14,6141.0
Indigo,Mumbai,Night,zero,Night,Delhi,Economy,2,7,6233.0
Vistara,Mumbai,Evening,zero,Night,Delhi,Economy,2,7,6251.0
Indigo,Mumbai,Evening,zero,Night,Delhi,Economy,2,7,6265.0
Indigo,Mumbai,Evening,zero,Evening,Delhi,Economy,2,7,6297.0
Indigo,Mumbai,Night,zero,Late_Night,Delhi,Economy,2,7,6311.0
Indigo,Mumbai,Early_Morning,zero,Morning,Delhi,Economy,2,7,6619.0
Indigo,Mumbai,Early_Morning,zero,Morning,Delhi,Economy,2,14,6713.0
